compound: 0.5423, neg: 0.068, neu: 0.712, pos: 0.22, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.4728, neg: 0.0, neu: 0.864, pos: 0.136, 
compound: 0.4215, neg: 0.0, neu: 0.843, pos: 0.157, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.5574, neg: 0.056, neu: 0.789, pos: 0.154, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.6369, neg: 0.0, neu: 0.885, pos: 0.115, 
compound: 0.0772, neg: 0.135, neu: 0.717, pos: 0.148, 
compound: -0.2023, neg: 0.096, neu: 0.904, pos: 0.0, 
compound: -0.4219, neg: 0.147, neu: 0.853, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: -0.4939, neg: 0.286, neu: 0.714, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.4576, neg: 0.0, neu: 0.734, pos: 0.266, 
compound: -0.1531, neg: 0.082, neu: 0.918, pos: 0.0, 
compound: 0.0717, neg: 0.0, neu: 0.846, pos: 0.154, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: -0.4158, neg: 0.284, neu: 0.716, pos: 0.0, 
compound: 0.128, neg: 0.0, neu: 0.909, pos: 0.091, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.5994, neg: 0.0, neu: 0.692, pos: 0.308, 
compound: -0.197, neg: 0.069, neu: 0.931, pos: 0.0, 
compound: -0.3774, neg: 0.292, neu: 0.565, pos: 0.143, 
compound: 0.0516, neg: 0.147, neu: 0.735, pos: 0.118, 
compound: -0.2263, neg: 0.16, neu: 0.84, pos: 0.0, 
compound: -0.2732, neg: 0.16, neu: 0.84, pos: 0.0, 
compound: -0.3182, neg: 0.141, neu: 0.785, pos: 0.073, 
compound: 0.374, neg: 0.0, neu: 0.74, pos: 0.26, 
compound: 0.4939, neg: 0.0, neu: 0.792, pos: 0.208, 
compound: 0.5907, neg: 0.0, neu: 0.623, pos: 0.377, 
compound: -0.0377, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: -0.2732, neg: 0.126, neu: 0.804, pos: 0.07, 
compound: 0.0516, neg: 0.0, neu: 0.806, pos: 0.194, 
compound: 0.0516, neg: 0.0, neu: 0.714, pos: 0.286, 
compound: 0.4939, neg: 0.101, neu: 0.674, pos: 0.225, 
compound: 0.7906, neg: 0.0, neu: 0.632, pos: 0.368, 
compound: 0.5082, neg: 0.0, neu: 0.63, pos: 0.37, 
compound: 0.0951, neg: 0.0, neu: 0.785, pos: 0.215, 
compound: 0.1027, neg: 0.049, neu: 0.892, pos: 0.059, 
compound: 0.5423, neg: 0.0, neu: 0.741, pos: 0.259, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.6289, neg: 0.051, neu: 0.618, pos: 0.331, 
compound: -0.3182, neg: 0.099, neu: 0.901, pos: 0.0, 
compound: 0.2755, neg: 0.0, neu: 0.883, pos: 0.117, 
compound: 0.8129, neg: 0.036, neu: 0.707, pos: 0.257, 
compound: -0.7783, neg: 0.218, neu: 0.782, pos: 0.0, 
compound: -0.5141, neg: 0.084, neu: 0.916, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.128, neg: 0.085, neu: 0.81, pos: 0.105, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: -0.2003, neg: 0.152, neu: 0.848, pos: 0.0, 
compound: -0.0377, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: -0.5256, neg: 0.22, neu: 0.78, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.2003, neg: 0.0, neu: 0.691, pos: 0.309, 
compound: -0.2944, neg: 0.354, neu: 0.646, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.8628, neg: 0.0, neu: 0.608, pos: 0.392, 
compound: -0.0271, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: -0.296, neg: 0.121, neu: 0.879, pos: 0.0, 
compound: 0.0516, neg: 0.0, neu: 0.833, pos: 0.167, 
compound: -0.128, neg: 0.077, neu: 0.923, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.4926, neg: 0.0, neu: 0.816, pos: 0.184, 
compound: 0.0258, neg: 0.0, neu: 0.879, pos: 0.121, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.4784, neg: 0.0, neu: 0.78, pos: 0.22, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: -0.0271, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: -0.0377, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: -0.2755, neg: 0.156, neu: 0.748, pos: 0.096, 
compound: -0.128, neg: 0.054, neu: 0.901, pos: 0.045, 
compound: -0.2415, neg: 0.118, neu: 0.762, pos: 0.12, 
compound: 0.4404, neg: 0.0, neu: 0.851, pos: 0.149, 
compound: 0.0258, neg: 0.117, neu: 0.759, pos: 0.124, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.34, neg: 0.0, neu: 0.854, pos: 0.146, 
compound: 0.3595, neg: 0.0, neu: 0.814, pos: 0.186, 
compound: 0.4215, neg: 0.0, neu: 0.851, pos: 0.149, 
compound: -0.0258, neg: 0.248, neu: 0.573, pos: 0.178, 
compound: 0.7777, neg: 0.0, neu: 0.874, pos: 0.126, 
compound: -0.2263, neg: 0.214, neu: 0.629, pos: 0.157, 
compound: -0.6908, neg: 0.192, neu: 0.808, pos: 0.0, 
compound: -0.3597, neg: 0.294, neu: 0.706, pos: 0.0, 
compound: 0.9136, neg: 0.0, neu: 0.75, pos: 0.25, 
compound: -0.8126, neg: 0.266, neu: 0.734, pos: 0.0, 
compound: -0.3597, neg: 0.172, neu: 0.828, pos: 0.0, 
compound: 0.2023, neg: 0.0, neu: 0.899, pos: 0.101, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0516, neg: 0.0, neu: 0.806, pos: 0.194, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
compound: 0.0762, neg: 0.0, neu: 0.92, pos: 0.08, 
compound: 0.3804, neg: 0.0, neu: 0.822, pos: 0.178, 
compound: 0.2363, neg: 0.137, neu: 0.668, pos: 0.194, 
compound: -0.2263, neg: 0.174, neu: 0.826, pos: 0.0, 
compound: 0.0, neg: 0.0, neu: 1.0, pos: 0.0, 
